model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1908x2TS389_1  [0.465]  [0.463]  [0.452]  [0.457]  [0.457]  [0.455]  [0.455]  [0.447]  [0.449]  [0.444]   [0.464]   [0.467]   [0.465]   [0.458]   [0.447]   [0.434]   [0.422]   [0.410]
C1908x2TS210_5  0        0        0        0        0        0        0        0        0.404    0.405     0.428     0.435     0.436     0.437     0.430     0.419     0.409     0.400
C1908x2TS073_4  0        0        0        0        0        0        0        0        0        0.298     0.301     0.302     0.304     0.307     0.314     0.319     0.318     0.315
C1908x2TS073_2  0        0        0        0        0        0        0        0        0        0         0.325     0.327     0.330     0.336     0.340     0.344     0.342     0.339
C1908x2TS073_5  0        0        0        0        0        0        0        0        0        0         0.308     0.309     0.310     0.313     0.317     0.325     0.327     0.324
C1908x2TS026_1  0        0        0        0        0        0        0        0        0        0         0.267     0.267     0.268     0.268     0.271     0.275     0.281     0.284
C1908x2TS073_1  0        0        0        0        0        0        0        0        0        0         0         0.328     0.333     0.339     0.340     0.343     0.341     0.337
C1908x2TS049_2  0        0        0        0        0        0        0        0        0        0         0         0.320     0.320     0.320     0.320     0.320     0.322     0.330
C1908x2TS123_1  0        0        0        0        0        0        0        0        0        0         0         0.303     0.303     0.305     0.310     0.315     0.313     0.310
C1908x2TS026_2  0        0        0        0        0        0        0        0        0        0         0         0         0.302     0.303     0.305     0.308     0.314     0.317
C1908x2TS049_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0.309     0.308     0.308     0.313     0.318
C1908x2TS103_2  0        0        0        0        0        0        0        0        0        0         0         0         0         0.297     0.295     0.297     0.301     0.306
C1908x2TS067_2  0        0        0        0        0        0        0        0        0        0         0         0         0         0.268     0.267     0.268     0.269     0.276
