model         cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1902TS413_2  0        0        0        0.506    0.511    0.512    0.512    0.514    0.515    0.524     0.530     0.534     0.534     0.534     0.532     0.530     0.528     0.522
C1902TS414_4  0        0        0        0.455    0.462    0.460    0.459    0.461    0.460    0.462     0.463     0.462     0.461     0.460     0.461     0.460     0.461     0.460
C1902TS299_1  0        0        0        0.398    0.400    0.398    0.398    0.398    0.398    0.399     0.398     0.398     0.398     0.399     0.401     0.402     0.403     0.402
C1902TS405_1  0        0        0        0.365    0.370    0.372    0.369    0.366    0.364    0.364     0.368     0.372     0.367     0.367     0.363     0.362     0.361     0.360
C1902TS401_1  0        0        0        0        0.545    0.541    0.542    0.539    0.537    0.539     0.533     0.523     0.517     0.514     0.508     0.502     0.498     0.492
C1902TS152_2  0        0        0        0        0.519    0.519    0.522    0.521    0.521    0.526     0.529     0.531     0.533     0.538     0.536     0.534     0.533     0.528
C1902TS152_1  0        0        0        0        0.513    0.516    0.516    0.516    0.518    0.525     0.531     0.534     0.535     0.535     0.532     0.530     0.528     0.523
C1902TS213_5  0        0        0        0        0.509    0.507    0.509    0.508    0.507    0.515     0.523     0.533     0.534     0.540     0.536     0.533     0.530     0.524
C1902TS131_4  0        0        0        0        0.468    0.472    0.479    0.487    0.491    0.496     0.495     0.496     0.496     0.493     0.489     0.488     0.484     0.480
C1902TS414_2  0        0        0        0        0.442    0.441    0.441    0.443    0.443    0.444     0.444     0.443     0.447     0.446     0.446     0.447     0.447     0.446
C1902TS299_2  0        0        0        0        0.410    0.408    0.408    0.408    0.408    0.409     0.408     0.408     0.408     0.409     0.411     0.411     0.412     0.411
C1902TS215_2  0        0        0        0        0.367    0.365    0.365    0.365    0.365    0.366     0.366     0.365     0.371     0.371     0.372     0.370     0.371     0.371
C1902TS131_5  0        0        0        0        0        0.466    0.471    0.476    0.481    0.486     0.494     0.492     0.492     0.490     0.486     0.485     0.482     0.477
C1902TS215_3  0        0        0        0        0        0.358    0.362    0.362    0.361    0.361     0.361     0.363     0.364     0.364     0.366     0.365     0.364     0.364
C1902TS405_5  0        0        0        0        0        0.330    0.330    0.330    0.330    0.330     0.330     0.329     0.330     0.332     0.332     0.332     0.331     0.330
C1902TS131_1  0        0        0        0        0        0        0.471    0.479    0.483    0.487     0.491     0.491     0.492     0.490     0.487     0.485     0.482     0.478
C1902TS369_2  0        0        0        0        0        0        0.448    0.449    0.452    0.453     0.455     0.453     0.454     0.456     0.454     0.455     0.454     0.454
C1902TS230_2  0        0        0        0        0        0        0.299    0.300    0.300    0.300     0.302     0.303     0.303     0.302     0.301     0.302     0.303     0.303
C1902TS414_3  0        0        0        0        0        0        0        0.444    0.443    0.448     0.447     0.447     0.447     0.446     0.445     0.446     0.446     0.445
C1902TS247_1  0        0        0        0        0        0        0        0.362    0.362    0.363     0.363     0.363     0.364     0.365     0.364     0.364     0.364     0.363
C1902TS131_3  0        0        0        0        0        0        0        0        0.487    0.491     0.498     0.496     0.498     0.496     0.492     0.491     0.489     0.484
C1902TS240_3  0        0        0        0        0        0        0        0        0.403    0.404     0.402     0.400     0.400     0.400     0.399     0.398     0.398     0.397
C1902TS299_3  0        0        0        0        0        0        0        0        0.364    0.365     0.365     0.365     0.365     0.367     0.367     0.367     0.367     0.366
C1902TS247_3  0        0        0        0        0        0        0        0        0        0.365     0.365     0.365     0.365     0.365     0.365     0.365     0.365     0.364
C1902TS438_3  0        0        0        0        0        0        0        0        0        0         0.545     0.549     0.550     0.552     0.549     0.548     0.546     0.541
C1902TS152_5  0        0        0        0        0        0        0        0        0        0         0.524     0.528     0.529     0.531     0.529     0.528     0.527     0.524
C1902TS413_5  0        0        0        0        0        0        0        0        0        0         0.520     0.523     0.525     0.527     0.525     0.525     0.524     0.520
C1902TS087_4  0        0        0        0        0        0        0        0        0        0         0.412     0.415     0.415     0.417     0.416     0.416     0.415     0.414
C1902TS228_1  0        0        0        0        0        0        0        0        0        0         0.409     0.408     0.409     0.409     0.412     0.413     0.414     0.414
C1902TS196_1  0        0        0        0        0        0        0        0        0        0         0.394     0.394     0.394     0.395     0.394     0.396     0.397     0.396
C1902TS247_5  0        0        0        0        0        0        0        0        0        0         0.365     0.364     0.364     0.364     0.365     0.365     0.364     0.364
C1902TS309_1  0        0        0        0        0        0        0        0        0        0         0.344     0.344     0.344     0.344     0.344     0.343     0.343     0.343
C1902TS230_1  0        0        0        0        0        0        0        0        0        0         0.297     0.296     0.296     0.296     0.295     0.297     0.298     0.297
C1902TS273_1  0        0        0        0        0        0        0        0        0        0         0         0.413     0.415     0.414     0.419     0.420     0.421     0.422
C1902TS240_1  0        0        0        0        0        0        0        0        0        0         0         0.384     0.383     0.384     0.384     0.383     0.383     0.381
C1902TS309_5  0        0        0        0        0        0        0        0        0        0         0         0.373     0.373     0.377     0.377     0.376     0.377     0.376
C1902TS087_2  0        0        0        0        0        0        0        0        0        0         0         0.365     0.365     0.366     0.366     0.366     0.366     0.367
C1902TS247_2  0        0        0        0        0        0        0        0        0        0         0         0.362     0.362     0.362     0.362     0.362     0.361     0.361
C1902TS158_1  0        0        0        0        0        0        0        0        0        0         0         0.316     0.318     0.318     0.318     0.318     0.318     0.318
C1902TS230_3  0        0        0        0        0        0        0        0        0        0         0         0.293     0.293     0.293     0.293     0.294     0.295     0.295
C1902TS414_5  0        0        0        0        0        0        0        0        0        0         0         0         0.455     0.455     0.455     0.455     0.456     0.455
C1902TS211_1  0        0        0        0        0        0        0        0        0        0         0         0         0.448     0.449     0.449     0.449     0.449     0.448
C1902TS247_4  0        0        0        0        0        0        0        0        0        0         0         0         0.355     0.355     0.355     0.355     0.355     0.354
C1902TS258_2  0        0        0        0        0        0        0        0        0        0         0         0         0.320     0.320     0.320     0.321     0.322     0.322
C1902TS278_1  0        0        0        0        0        0        0        0        0        0         0         0         0.318     0.318     0.318     0.318     0.318     0.318
C1902TS230_5  0        0        0        0        0        0        0        0        0        0         0         0         0.296     0.296     0.299     0.299     0.298     0.299
C1902TS309_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0.358     0.358     0.358     0.358     0.358
C1902TS258_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0.325     0.324     0.324     0.325     0.326
C1902TS258_5  0        0        0        0        0        0        0        0        0        0         0         0         0         0.322     0.322     0.322     0.323     0.323
C1902TS087_5  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.447     0.447     0.448     0.448
C1902TS405_2  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.404     0.403     0.403     0.402
C1902TS182_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.325     0.324     0.324     0.324
C1902TS211_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.298     0.298     0.299     0.299
C1902TS230_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.283     0.283     0.283     0.283
C1902TS200_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.360     0.359     0.358
C1902TS066_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.269     0.269     0.268
C1902TS258_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.328     0.328
C1902TS258_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.326     0.326
C1902TS211_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.305     0.304
C1902TS273_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.303     0.303
C1902TS240_2  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.395
C1902TS309_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.343
C1902TS278_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.336
C1902TS103_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.311
