C1901d3TS003_1 C1901d3TS010_1 C1901d3TS010_2 C1901d3TS010_3 C1901d3TS010_4 C1901d3TS010_5 C1901d3TS049_1 C1901d3TS049_2 C1901d3TS049_3 C1901d3TS049_4 C1901d3TS049_5 C1901d3TS067_1 C1901d3TS067_2 C1901d3TS067_3 C1901d3TS067_4 C1901d3TS067_5 C1901d3TS103_1 C1901d3TS103_2 C1901d3TS123_1 C1901d3TS123_2 C1901d3TS123_3 C1901d3TS123_4 C1901d3TS123_5 C1901d3TS131_1 C1901d3TS131_2 C1901d3TS131_3 C1901d3TS131_4 C1901d3TS131_5 C1901d3TS210_1 C1901d3TS210_2 C1901d3TS210_3 C1901d3TS210_4 C1901d3TS210_5 C1901d3TS215_1 C1901d3TS215_2 C1901d3TS215_3 C1901d3TS215_4 C1901d3TS215_5 C1901d3TS228_1 C1901d3TS228_2 C1901d3TS228_3 C1901d3TS228_4 C1901d3TS228_5 C1901d3TS240_1 C1901d3TS240_2 C1901d3TS240_3 C1901d3TS240_4 C1901d3TS240_5 C1901d3TS258_1 C1901d3TS258_2 C1901d3TS258_3 C1901d3TS258_4 C1901d3TS258_5 C1901d3TS267_1 C1901d3TS267_2 C1901d3TS267_3 C1901d3TS267_4 C1901d3TS267_5 C1901d3TS273_1 C1901d3TS273_2 C1901d3TS273_3 C1901d3TS273_4 C1901d3TS273_5 C1901d3TS319_1 C1901d3TS319_2 C1901d3TS345_1 C1901d3TS345_2 C1901d3TS345_3 C1901d3TS345_4 C1901d3TS345_5 C1901d3TS347_1 C1901d3TS347_2 C1901d3TS347_3 C1901d3TS405_1 C1901d3TS405_2 C1901d3TS405_3 C1901d3TS405_4 C1901d3TS405_5 C1901d3TS432_1 C1901d3TS438_1 C1901d3TS438_2 C1901d3TS438_3 C1901d3TS438_4 C1901d3TS438_5
0.397618 0.346253 0.363132 0.361903 0.362605 0.37005 0.511128 0.525558 0.568064 0.539662 1 0.383913 0.409201 0.391731 0.386967 0.383913 0.272864 0.394041 0.357064 0.375011 0.358168 0.384366 0.392165 0.345391 0.363468 0.348554 0.345287 0.375671 0.351016 0.333857 0.356273 0.370632 0.360098 0.368198 0.366229 0.374444 0.376008 0.366502 0.370855 0.383554 0.38516 0.367088 0.351206 0.394539 0.386962 0.40193 0.393545 0.385934 0.353149 0.365562 0.388992 0.394414 0.395929 0.382037 0.406307 0.420839 0.402171 0.408815 0.377083 0.371259 0.364742 0.364817 0.380248 0.368192 0.397464 0.354718 0.354553 0.358815 0.358229 0.353397 0.360174 0.359948 0.362033 0.356273 0.370632 0.360098 0.361057 0.352138 0.318092 0.33055 0.326562 0.330715 0.333242 0.333467
0.284955 0.304811 0.325844 0.293722 0.309907 0.275748 0.169795 0.148349 0.126153 0.151185 0.157853 1 0.270904 0.247944 0.248357 1 0.204225 0.287897 0.270627 0.298679 0.269285 0.24948 0.259374 0.283092 0.288418 0.289651 0.28929 0.289521 0.286493 0.270371 0.282298 0.293125 0.28815 0.287911 0.279155 0.260521 0.278002 0.281879 0.282827 0.289906 0.291121 0.282477 0.282024 0.285282 0.270178 0.270037 0.287247 0.288342 0.295334 0.279157 0.281853 0.289367 0.292227 0.285699 0.249351 0.275036 0.273989 0.276209 0.287366 0.290423 0.285972 0.294693 0.289259 0.249933 0.261968 0.289174 0.295803 0.276908 0.264622 0.279855 0.289716 0.321922 0.287563 0.282298 0.293125 0.28815 0.281828 0.287721 0.221474 0.273086 0.233932 0.27236 0.271738 0.272732
0.304119 0.328702 0.324013 0.297498 0.293047 0.300204 0.180975 0.181954 0.157418 0.204756 0.185315 0.309767 1 0.335357 0.345109 0.309767 0.169846 0.311495 0.285558 0.296644 0.29061 0.306719 0.299739 0.288501 0.284049 0.295636 0.278737 0.275498 0.289718 0.292158 0.287303 0.301052 0.277326 0.286259 0.281045 0.265117 0.284669 0.278148 0.306372 0.305845 0.30369 0.304879 0.299098 0.284232 0.278807 0.291991 0.293727 0.27891 0.29595 0.294677 0.296312 0.282345 0.284744 0.299339 0.276904 0.306684 0.291525 0.297373 0.296626 0.287095 0.297994 0.295421 0.299382 0.280431 0.301754 0.312801 0.281479 0.318242 0.278653 0.295632 0.348396 0.338526 0.292946 0.287303 0.301052 0.277326 0.287372 0.3008 0.237414 0.285415 0.259049 0.283766 0.286821 0.282661
0.270506 0.28118 0.264469 0.260609 0.254351 0.268618 0.167126 0.136124 0.134181 0.167096 0.147187 0.262673 0.289496 1 0.617227 0.262673 0.167305 0.274231 0.254953 0.252169 0.268728 0.263826 0.265786 0.260261 0.261138 0.267576 0.249547 0.258281 0.277234 0.273674 0.272188 0.263448 0.259472 0.268107 0.266253 0.251747 0.258094 0.250719 0.277258 0.276967 0.275121 0.273809 0.261862 0.280768 0.261153 0.277863 0.291241 0.280132 0.267723 0.270988 0.261567 0.274069 0.265068 0.247417 0.242987 0.263238 0.259327 0.266843 0.265948 0.27409 0.269116 0.275123 0.268769 0.253663 0.259049 0.264961 0.263366 0.274751 0.259548 0.259412 0.283863 0.284069 0.297088 0.272188 0.263448 0.259472 0.251644 0.263631 0.226867 0.288808 0.245449 0.283072 0.285694 0.285614
0.275801 0.296269 0.286626 0.279226 0.267882 0.272401 0.163664 0.143783 0.137905 0.15741 0.144986 0.265207 0.304412 0.631321 1 0.265207 0.187302 0.287785 0.269206 0.253401 0.268167 0.271876 0.272028 0.27052 0.275989 0.271537 0.26646 0.283464 0.276525 0.286207 0.275892 0.268155 0.26088 0.279087 0.26574 0.254747 0.263242 0.259062 0.289888 0.286769 0.28825 0.290356 0.271893 0.28697 0.272128 0.289205 0.292269 0.292452 0.266832 0.268603 0.256526 0.276557 0.271986 0.256789 0.274432 0.260937 0.26749 0.264127 0.283233 0.283608 0.283693 0.290057 0.278272 0.245321 0.269136 0.272781 0.265824 0.270033 0.273556 0.276505 0.284016 0.293953 0.302212 0.275892 0.268155 0.26088 0.254629 0.258623 0.230587 0.280011 0.245429 0.28021 0.27787 0.282375
0.284955 0.304811 0.325844 0.293722 0.309907 0.275748 0.169795 0.148349 0.126153 0.151185 0.157853 1 0.270904 0.247944 0.248357 1 0.204225 0.287897 0.270627 0.298679 0.269285 0.24948 0.259374 0.283092 0.288418 0.289651 0.28929 0.289521 0.286493 0.270371 0.282298 0.293125 0.28815 0.287911 0.279155 0.260521 0.278002 0.281879 0.282827 0.289906 0.291121 0.282477 0.282024 0.285282 0.270178 0.270037 0.287247 0.288342 0.295334 0.279157 0.281853 0.289367 0.292227 0.285699 0.249351 0.275036 0.273989 0.276209 0.287366 0.290423 0.285972 0.294693 0.289259 0.249933 0.261968 0.289174 0.295803 0.276908 0.264622 0.279855 0.289716 0.321922 0.287563 0.282298 0.293125 0.28815 0.281828 0.287721 0.221474 0.273086 0.233932 0.27236 0.271738 0.272732
0.28094 0.302161 0.277338 0.28825 0.29315 0.272821 0.206631 0.171345 0.151293 0.16412 0.174099 0.299234 0.256598 0.262569 0.280204 0.299234 1 0.283035 0.292239 0.306466 0.290209 0.293081 0.314435 0.30848 0.308721 0.312308 0.313927 0.320547 0.288807 0.283167 0.276839 0.297422 0.274595 0.320049 0.290234 0.314614 0.297424 0.306167 0.290509 0.291117 0.2894 0.290484 0.296293 0.279259 0.284295 0.294937 0.311824 0.287265 0.304595 0.301296 0.275567 0.288074 0.296472 0.281945 0.278837 0.288415 0.301622 0.293962 0.302044 0.314099 0.308184 0.315404 0.307995 0.26413 0.268402 0.303649 0.289576 0.290755 0.30277 0.30415 0.273016 0.29103 0.314039 0.276839 0.297422 0.274595 0.277372 0.282586 0.307349 0.302285 0.267635 0.309311 0.304441 0.307401
0.254444 0.282485 0.284533 0.28841 0.300411 0.284886 0.169394 0.153649 0.125826 0.135456 0.147064 0.290601 0.249578 0.263323 0.26377 0.290601 0.179912 1 0.274273 0.279061 0.277993 0.24736 0.271899 0.302577 0.306091 0.302604 0.298996 0.296116 0.310698 0.303077 0.282962 0.283561 0.282362 0.287421 0.264539 0.266448 0.268248 0.27211 0.298716 0.296322 0.29145 0.294591 0.293363 0.287802 0.28558 0.281186 0.296173 0.301406 0.278062 0.284917 0.28282 0.276703 0.276277 0.273343 0.250913 0.269448 0.272752 0.277824 0.274899 0.283119 0.275273 0.287581 0.283389 0.249682 0.247038 0.284645 0.281761 0.28949 0.273665 0.28113 0.29273 0.291173 0.298094 0.282962 0.283561 0.282362 0.264517 0.274577 0.222252 0.279797 0.24971 0.281172 0.283783 0.276974
0.239081 0.317315 0.28713 0.299152 0.299106 0.296054 0.140855 0.106312 0.109785 0.125052 0.117026 0.23534 0.234218 0.227059 0.247872 0.23534 0.175752 0.252601 1 0.304271 0.330705 0.258338 0.259954 0.302644 0.296811 0.299282 0.295573 0.282114 0.293201 0.272937 0.279596 0.29062 0.269427 0.293508 0.276257 0.271475 0.270344 0.276227 0.287609 0.282459 0.279534 0.287201 0.286629 0.277867 0.275235 0.273229 0.285138 0.274402 0.286069 0.292856 0.278525 0.282133 0.266551 0.283398 0.287576 0.285019 0.30727 0.303137 0.283919 0.288598 0.284549 0.292705 0.283644 0.222825 0.226249 0.316125 0.284735 0.302895 0.273737 0.284544 0.246453 0.256282 0.254064 0.279596 0.29062 0.269427 0.280087 0.288319 0.224208 0.285429 0.25307 0.289337 0.288512 0.288997
0.246623 0.307111 0.309173 0.286313 0.302302 0.29235 0.15729 0.130525 0.100204 0.140119 0.124825 0.274265 0.244874 0.230031 0.233871 0.274265 0.187575 0.277851 0.319557 1 0.321374 0.264052 0.264799 0.287843 0.286951 0.290176 0.280396 0.280712 0.300893 0.294502 0.298136 0.292089 0.296237 0.285186 0.266858 0.28137 0.272729 0.268715 0.295201 0.302116 0.294586 0.293214 0.308572 0.279029 0.285383 0.28965 0.287179 0.279935 0.291804 0.295446 0.262245 0.266297 0.279682 0.334182 0.290892 0.319787 0.31765 0.293258 0.297096 0.300858 0.295278 0.293707 0.296241 0.240793 0.233621 0.306207 0.293108 0.29115 0.280388 0.283115 0.280737 0.282403 0.258728 0.298136 0.292089 0.296237 0.286828 0.285555 0.240351 0.301564 0.256524 0.310097 0.304261 0.305998
