C1908x2TS003_1 C1908x2TS026_1 C1908x2TS026_2 C1908x2TS049_1 C1908x2TS049_2 C1908x2TS049_3 C1908x2TS049_4 C1908x2TS049_5 C1908x2TS067_1 C1908x2TS067_2 C1908x2TS067_3 C1908x2TS067_4 C1908x2TS067_5 C1908x2TS073_1 C1908x2TS073_2 C1908x2TS073_3 C1908x2TS073_4 C1908x2TS073_5 C1908x2TS103_1 C1908x2TS103_2 C1908x2TS103_3 C1908x2TS123_1 C1908x2TS123_2 C1908x2TS123_3 C1908x2TS123_4 C1908x2TS123_5 C1908x2TS131_1 C1908x2TS131_2 C1908x2TS131_3 C1908x2TS131_4 C1908x2TS131_5 C1908x2TS179_1 C1908x2TS210_1 C1908x2TS210_2 C1908x2TS210_3 C1908x2TS210_4 C1908x2TS210_5 C1908x2TS215_1 C1908x2TS215_2 C1908x2TS215_3 C1908x2TS215_4 C1908x2TS215_5 C1908x2TS228_1 C1908x2TS228_2 C1908x2TS228_3 C1908x2TS228_4 C1908x2TS228_5 C1908x2TS270_1 C1908x2TS345_1 C1908x2TS345_2 C1908x2TS345_3 C1908x2TS345_4 C1908x2TS345_5 C1908x2TS389_1 C1908x2TS389_2 C1908x2TS389_3 C1908x2TS389_4 C1908x2TS389_5 C1908x2TS404_1 C1908x2TS404_2 C1908x2TS404_3 C1908x2TS404_4 C1908x2TS404_5 C1908x2TS405_1 C1908x2TS405_2 C1908x2TS405_3 C1908x2TS405_4 C1908x2TS405_5 C1908x2TS432_1
0.281184 0.268865 0.281821 0.272836 0.263938 0.266246 0.276136 0.274294 0.742831 0.272709 1 0.747798 0.764099 0.296359 0.296556 0.279725 0.274946 0.283498 0.271502 0.268758 0.239446 0.280577 0.233675 0.276895 0.276895 0.276895 0.226125 0.22595 0.233182 0.213543 0.216863 0.250173 0.286661 0.290389 0.27694 0.284494 0.277152 0.279873 0.265206 0.256061 0.253412 0.267618 0.291078 0.284283 0.270002 0.281872 0.279923 0.291956 0.268502 0.255734 0.261017 0.283156 0.280344 0.275036 0.277892 0.277802 0.277165 0.280502 0.257703 0.252686 0.249721 0.255209 0.250059 0.286661 0.290389 0.27694 0.284494 0.277152 0.286411
0.272112 0.269649 0.274415 0.267057 0.260359 0.260631 0.262907 0.254087 0.747137 0.262008 0.745364 1 0.739706 0.292597 0.293396 0.275742 0.271011 0.281275 0.272922 0.266476 0.231672 0.271784 0.229574 0.258227 0.258227 0.258227 0.224438 0.233562 0.227592 0.206663 0.221019 0.246213 0.2865 0.27732 0.262632 0.275425 0.266687 0.267295 0.260547 0.247315 0.247052 0.259289 0.286217 0.281639 0.261086 0.277255 0.27681 0.277768 0.269146 0.260553 0.267733 0.271291 0.281317 0.264943 0.270431 0.269861 0.267037 0.266867 0.244396 0.239916 0.23698 0.242194 0.239519 0.2865 0.27732 0.262632 0.275425 0.266687 0.270627
0.287539 0.274195 0.28411 0.284675 0.277208 0.29178 0.290773 0.276902 0.796418 0.279024 0.797498 0.772171 1 0.312399 0.308682 0.281677 0.285898 0.293956 0.277869 0.28063 0.249761 0.297032 0.236299 0.285721 0.285721 0.285721 0.232879 0.234765 0.244606 0.216868 0.216698 0.27226 0.299721 0.295 0.28059 0.286205 0.281424 0.297627 0.272495 0.26179 0.267027 0.276703 0.305419 0.295772 0.277156 0.294043 0.302185 0.294836 0.289284 0.275999 0.283047 0.296714 0.291749 0.290084 0.295545 0.29394 0.291251 0.296456 0.266559 0.263886 0.259079 0.264022 0.260755 0.299721 0.295 0.28059 0.286205 0.281424 0.28709
0.24578 0.244 0.247017 0.284872 0.259219 0.293571 0.279566 0.274916 0.260241 0.250012 0.266721 0.259546 0.268486 1 0.431451 0.404764 0.346662 0.387772 0.252245 0.279017 0.203991 0.326139 0.289332 0.283442 0.283442 0.283442 0.253038 0.253804 0.255153 0.263602 0.258177 0.29904 0.354137 0.359923 0.353272 0.343688 0.347907 0.336542 0.313005 0.321845 0.315974 0.325198 0.339606 0.320369 0.340972 0.303339 0.341568 0.335915 0.293402 0.308348 0.303214 0.315631 0.300195 0.371317 0.365112 0.35793 0.35675 0.370259 0.267842 0.269732 0.264631 0.266906 0.269933 0.354137 0.359923 0.353272 0.343688 0.347907 0.342435
0.255805 0.252334 0.256487 0.297823 0.281752 0.311251 0.299354 0.275078 0.261766 0.256686 0.26747 0.268047 0.266385 0.455309 1 0.407237 0.361824 0.406234 0.251426 0.297946 0.210861 0.330324 0.306431 0.309353 0.309353 0.309353 0.257575 0.275038 0.266254 0.263093 0.262106 0.29298 0.359633 0.357947 0.358534 0.367559 0.380741 0.338861 0.318092 0.334689 0.334546 0.319962 0.326624 0.3234 0.357843 0.32129 0.343052 0.329055 0.298525 0.320361 0.321549 0.315223 0.313611 0.3739 0.351709 0.360287 0.350306 0.367302 0.286361 0.28549 0.291389 0.287834 0.285881 0.359633 0.357947 0.358534 0.367559 0.380741 0.355042
0.256411 0.276825 0.280681 0.284719 0.278607 0.278002 0.276635 0.269737 0.248981 0.260794 0.254319 0.249999 0.251311 0.412111 0.408104 1 0.383328 0.40547 0.226247 0.271791 0.196303 0.33018 0.277186 0.293546 0.293546 0.293546 0.247491 0.253604 0.24115 0.250574 0.244231 0.292622 0.321145 0.32778 0.323864 0.327959 0.324306 0.329309 0.291211 0.327447 0.285597 0.336678 0.322157 0.315708 0.326612 0.288803 0.323619 0.316093 0.299462 0.309091 0.341382 0.332602 0.326576 0.345537 0.339111 0.351285 0.337988 0.349384 0.273471 0.273086 0.275313 0.273643 0.278793 0.321145 0.32778 0.323864 0.327959 0.324306 0.324261
0.234064 0.239166 0.237099 0.284818 0.258399 0.284644 0.266466 0.245785 0.232893 0.249578 0.237464 0.234717 0.242681 0.327333 0.351239 0.351348 1 0.342254 0.221888 0.269683 0.1841 0.298611 0.285321 0.278007 0.278007 0.278007 0.241381 0.249955 0.241557 0.244833 0.25126 0.287283 0.316681 0.316423 0.318143 0.322763 0.314128 0.331195 0.294327 0.307896 0.288213 0.293895 0.314836 0.296163 0.302315 0.280039 0.313587 0.299301 0.299209 0.302187 0.299622 0.307458 0.315062 0.299204 0.31057 0.301426 0.289756 0.305427 0.277279 0.274298 0.27522 0.275431 0.273956 0.316681 0.316423 0.318143 0.322763 0.314128 0.300094
0.260724 0.267283 0.276361 0.270609 0.273814 0.265307 0.280249 0.283363 0.269078 0.270248 0.263706 0.258324 0.272458 0.409291 0.416149 0.408754 0.364356 1 0.26565 0.26939 0.203657 0.300525 0.300568 0.312167 0.312167 0.312167 0.267099 0.260596 0.258807 0.251224 0.251699 0.310593 0.334077 0.32826 0.333214 0.338017 0.33336 0.323155 0.311915 0.31418 0.314549 0.33015 0.338091 0.310495 0.331343 0.305655 0.30848 0.317418 0.282901 0.305655 0.316693 0.322018 0.297102 0.33755 0.330554 0.333775 0.322976 0.339045 0.273805 0.274206 0.270923 0.273254 0.274201 0.334077 0.32826 0.333214 0.338017 0.33336 0.339215
0.292299 0.303752 0.308969 0.283493 0.30015 0.277204 0.280558 0.296013 0.30913 0.285971 0.312479 0.308306 0.311818 0.314965 0.319456 0.302262 0.306586 0.319281 1 0.281301 0.276202 0.286267 0.252064 0.303054 0.303054 0.303054 0.282391 0.281029 0.268624 0.268709 0.267642 0.281034 0.29791 0.297164 0.294349 0.30037 0.286259 0.291228 0.313407 0.283172 0.297237 0.293896 0.284594 0.307445 0.303148 0.295548 0.280298 0.298108 0.287051 0.264741 0.268174 0.273082 0.287275 0.310376 0.297801 0.296547 0.304131 0.304222 0.281285 0.281437 0.279529 0.277756 0.281056 0.29791 0.297164 0.294349 0.30037 0.286259 0.319182
0.279553 0.229346 0.237612 0.310385 0.299138 0.298753 0.302298 0.277517 0.25657 0.254853 0.262082 0.262213 0.268584 0.299803 0.307733 0.292983 0.29619 0.280088 0.232413 1 0.185776 0.293081 0.257672 0.275113 0.275113 0.275113 0.222215 0.25124 0.243217 0.244653 0.241716 0.276287 0.329346 0.314051 0.329985 0.327195 0.33846 0.321866 0.301605 0.320307 0.279789 0.286642 0.324026 0.334735 0.340345 0.302302 0.324968 0.306253 0.302247 0.359424 0.333227 0.338934 0.294877 0.313528 0.311964 0.311046 0.309096 0.32136 0.288141 0.289034 0.285586 0.286097 0.285811 0.329346 0.314051 0.329985 0.327195 0.33846 0.30117
