C1906x2TS003_1 C1906x2TS044_1 C1906x2TS049_1 C1906x2TS049_2 C1906x2TS049_3 C1906x2TS049_4 C1906x2TS049_5 C1906x2TS067_1 C1906x2TS067_2 C1906x2TS067_3 C1906x2TS067_4 C1906x2TS067_5 C1906x2TS073_1 C1906x2TS073_2 C1906x2TS073_3 C1906x2TS073_4 C1906x2TS073_5 C1906x2TS121_1 C1906x2TS121_2 C1906x2TS123_1 C1906x2TS123_2 C1906x2TS123_3 C1906x2TS123_4 C1906x2TS123_5 C1906x2TS215_1 C1906x2TS215_2 C1906x2TS215_3 C1906x2TS215_4 C1906x2TS215_5 C1906x2TS228_1 C1906x2TS301_1 C1906x2TS301_2 C1906x2TS389_1 C1906x2TS389_2 C1906x2TS389_3 C1906x2TS389_4 C1906x2TS389_5
0.237919 0.385763 0.152585 0.117791 0.116643 0.109942 0.11065 0.223072 0.256863 0.223072 0.261925 0.256863 0.450405 0.419016 0.4108 1 0.426677 0.286954 0.268801 0.278669 0.305596 0.289526 0.291726 0.25607 0.359926 0.331271 0.342685 0.318683 0.350915 0.383473 0.385763 0.385759 0.37332 0.357681 0.394305 0.381709 0.385255
0.236748 0.410242 0.149589 0.119978 0.133121 0.111437 0.128861 0.247247 0.272632 0.247247 0.272339 0.272695 0.444115 0.421909 0.425774 0.44697 1 0.293831 0.272519 0.304434 0.308263 0.30053 0.324647 0.281443 0.361767 0.35257 0.366604 0.326078 0.378171 0.417723 0.410242 0.410239 0.404915 0.393358 0.419593 0.422354 0.430325
0.197139 0.292108 0.136989 0.0987703 0.106305 0.0867033 0.101809 0.209635 0.24302 0.209635 0.255361 0.242957 0.27864 0.289723 0.271501 0.278697 0.269464 1 0.421203 0.257793 0.271641 0.240805 0.238871 0.236241 0.289671 0.268009 0.274912 0.268688 0.281564 0.301666 0.292108 0.292107 0.306002 0.282144 0.301254 0.296031 0.293105
0.189993 0.268013 0.138771 0.0907936 0.0942753 0.0871162 0.0946205 0.205412 0.240833 0.205412 0.240391 0.240902 0.247046 0.247506 0.254426 0.250888 0.25262 0.452626 1 0.247547 0.254708 0.216112 0.21036 0.228069 0.276646 0.251262 0.250172 0.246343 0.26688 0.275888 0.268013 0.268009 0.276885 0.270803 0.286164 0.281694 0.285801
0.249288 0.339929 0.165362 0.126481 0.119824 0.124661 0.139267 0.264544 0.256785 0.264544 0.263233 0.256785 0.313031 0.311152 0.29935 0.293055 0.306549 0.276452 0.265645 1 0.301944 0.264864 0.258705 0.282998 0.29986 0.304481 0.314293 0.29701 0.299358 0.324315 0.339929 0.339918 0.334171 0.316934 0.344162 0.327559 0.334141
0.254179 0.337521 0.14644 0.124998 0.126125 0.1063 0.125429 0.240032 0.252061 0.240032 0.266162 0.252061 0.309956 0.308705 0.299246 0.309506 0.304957 0.284779 0.267751 0.298844 1 0.260853 0.256982 0.273593 0.30337 0.311237 0.309696 0.283321 0.288726 0.309781 0.337521 0.337516 0.336776 0.321576 0.334787 0.33392 0.337775
0.246709 0.335552 0.161824 0.129324 0.127498 0.127485 0.130749 0.233003 0.236561 0.233003 0.245704 0.236623 0.313214 0.312243 0.320789 0.311769 0.308286 0.260321 0.235913 0.280001 0.279221 1 0.424596 0.260989 0.293714 0.291766 0.328916 0.307973 0.31527 0.318975 0.335552 0.335548 0.338996 0.338423 0.34409 0.336429 0.33626
0.22011 0.30711 0.152312 0.131003 0.1349 0.115476 0.121849 0.219771 0.232934 0.219771 0.236533 0.232997 0.278828 0.291755 0.284583 0.287001 0.301118 0.253849 0.219018 0.258044 0.252289 0.399593 1 0.246105 0.285064 0.26418 0.298641 0.279409 0.292742 0.297182 0.30711 0.30711 0.309102 0.315892 0.310479 0.310831 0.313885
0.25932 0.335788 0.163707 0.1272 0.13503 0.132571 0.133006 0.263239 0.281715 0.263239 0.290513 0.281649 0.308635 0.303052 0.306277 0.291186 0.305312 0.276755 0.263284 0.304473 0.306845 0.273524 0.264923 1 0.293574 0.312294 0.307954 0.296828 0.312487 0.325151 0.335788 0.335792 0.347543 0.333502 0.339871 0.345723 0.342617
0.215704 0.421793 0.133171 0.0925757 0.109579 0.0869078 0.0981424 0.239345 0.225977 0.239345 0.225389 0.226038 0.327332 0.350701 0.320042 0.332342 0.313677 0.271748 0.261939 0.267905 0.276678 0.253279 0.268308 0.235456 1 0.37257 0.394576 0.352714 0.403536 0.420893 0.421793 0.421796 0.355949 0.351201 0.355617 0.363305 0.364938
